2025-02-15T01:49:06,52141,GET /rate/criminal+2004=4
2025-02-15T01:49:09,15942,GET /rate/pride+and+glory+2008=3
2025-02-15T01:49:09,30410,GET /rate/beer+league+2006=3
2025-02-15T01:49:11,12318,GET /rate/the+boy+in+blue+1986=3
2025-02-15T01:49:12,86351,GET /rate/1114+2003=3
2025-02-15T01:49:14,13241,GET /rate/samaritan+girl+2004=4
2025-02-15T01:49:15,9888,GET /rate/harry+potter+and+the+chamber+of+secrets+2002=5
2025-02-15T01:49:16,13248,GET /rate/blown+away+1994=4
2025-02-15T01:49:17,78955,GET /rate/wreck-it+ralph+2012=3
2025-02-15T01:49:21,23450,GET /rate/hazmat+2013=3
2025-02-15T01:49:24,68234,GET /rate/papillon+1973=4
2025-02-15T01:49:25,83560,GET /rate/shakespeare+in+love+1998=4
2025-02-15T01:49:25,33036,GET /rate/the+great+ka+train+robbery+1926=3
2025-02-15T01:49:29,12557,GET /rate/we+need+to+talk+about+kevin+2011=4
2025-02-15T01:49:34,101791,GET /rate/kingsman+the+secret+service+2015=5
2025-02-15T01:49:36,101517,GET /rate/spirited+away+2001=4
2025-02-15T01:49:39,62407,GET /rate/who+saw+him+die+1968=4
2025-02-15T01:49:42,45460,GET /rate/reverse+2009=4
2025-02-15T01:49:45,103729,GET /rate/mutiny+on+the+bounty+1962=4
2025-02-15T01:49:48,27625,GET /rate/the+last+legion+2007=3
2025-02-15T01:49:57,101439,GET /rate/real+steel+2011=4
2025-02-15T01:50:05,71886,GET /rate/a+man+vanishes+1967=4
2025-02-15T01:50:07,104396,GET /rate/mr.+deeds+goes+to+town+1936=3
2025-02-15T01:50:07,50217,GET /rate/gladiator+2000=4
2025-02-15T01:50:08,10748,GET /rate/orders+signed+in+white+1974=3
2025-02-15T01:50:14,64550,GET /rate/percy+jackson++the+olympians+the+lightning+thief+2010=3
2025-02-15T01:50:20,68634,GET /rate/mirrors+2+2010=3
2025-02-15T01:50:20,65845,GET /rate/stand+by+me+1986=5
2025-02-15T01:50:21,74195,GET /rate/the+rolling+stones+gimme+shelter+1970=4
2025-02-15T01:50:26,18357,GET /rate/pride+2014=4
2025-02-15T01:50:27,76284,GET /rate/erik+the+viking+1989=2
2025-02-15T01:50:28,8693,GET /rate/the+memphis+belle+a+story+of+a+flying+fortress+1944=4
2025-02-15T01:50:32,65578,GET /rate/darling+companion+2012=2
2025-02-15T01:50:33,187,GET /rate/the+ghost+writer+2010=4
2025-02-15T01:50:36,26171,GET /rate/the+winning+team+1952=4
2025-02-15T01:50:37,27558,GET /rate/foreverland+2012=3
2025-02-15T01:50:39,25815,GET /rate/bruce+almighty+2003=2
2025-02-15T01:50:45,27863,GET /rate/murder_+my+sweet+1944=4
2025-02-15T01:50:47,40462,GET /rate/unknown+2011=4
