timestamp,user_id,movie_id,rating
2025-02-15T01:49:06,52141,criminal+2004,4
2025-02-15T01:49:09,15942,pride+and+glory+2008,3
2025-02-15T01:49:09,30410,beer+league+2006,3
2025-02-15T01:49:11,12318,the+boy+in+blue+1986,3
2025-02-15T01:49:12,86351,1114+2003,3
2025-02-15T01:49:14,13241,samaritan+girl+2004,4
2025-02-15T01:49:15,9888,harry+potter+and+the+chamber+of+secrets+2002,5
2025-02-15T01:49:16,13248,blown+away+1994,4
2025-02-15T01:49:17,78955,wreck-it+ralph+2012,3
2025-02-15T01:49:21,23450,hazmat+2013,3
2025-02-15T01:49:24,68234,papillon+1973,4
2025-02-15T01:49:25,83560,shakespeare+in+love+1998,4
2025-02-15T01:49:25,33036,the+great+ka+train+robbery+1926,3
2025-02-15T01:49:29,12557,we+need+to+talk+about+kevin+2011,4
2025-02-15T01:49:34,101791,kingsman+the+secret+service+2015,5
2025-02-15T01:49:36,101517,spirited+away+2001,4
2025-02-15T01:49:39,62407,who+saw+him+die+1968,4
2025-02-15T01:49:42,45460,reverse+2009,4
2025-02-15T01:49:45,103729,mutiny+on+the+bounty+1962,4
2025-02-15T01:49:48,27625,the+last+legion+2007,3
2025-02-15T01:49:57,101439,real+steel+2011,4
2025-02-15T01:50:05,71886,a+man+vanishes+1967,4
2025-02-15T01:50:07,104396,mr.+deeds+goes+to+town+1936,3
2025-02-15T01:50:07,50217,gladiator+2000,4
2025-02-15T01:50:08,10748,orders+signed+in+white+1974,3
2025-02-15T01:50:14,64550,percy+jackson++the+olympians+the+lightning+thief+2010,3
2025-02-15T01:50:20,68634,mirrors+2+2010,3
2025-02-15T01:50:20,65845,stand+by+me+1986,5
2025-02-15T01:50:21,74195,the+rolling+stones+gimme+shelter+1970,4
2025-02-15T01:50:26,18357,pride+2014,4
2025-02-15T01:50:27,76284,erik+the+viking+1989,2
2025-02-15T01:50:28,8693,the+memphis+belle+a+story+of+a+flying+fortress+1944,4
2025-02-15T01:50:32,65578,darling+companion+2012,2
2025-02-15T01:50:33,187,the+ghost+writer+2010,4
2025-02-15T01:50:36,26171,the+winning+team+1952,4
2025-02-15T01:50:37,27558,foreverland+2012,3
2025-02-15T01:50:39,25815,bruce+almighty+2003,2
2025-02-15T01:50:45,27863,murder_+my+sweet+1944,4
2025-02-15T01:50:47,40462,unknown+2011,4
2025-02-15T01:50:48,55237,afflicted+2014,3
2025-02-15T01:50:49,42674,the+traveler+2010,3
2025-02-15T01:50:49,25872,who+do+i+gotta+kill+1994,3
2025-02-15T01:50:52,54900,chappie+2015,4
2025-02-15T01:50:54,54475,despicable+me+2+2013,5
2025-02-15T01:50:59,47734,the+desperado+trail+1965,3
2025-02-15T01:51,4169,alice+in+wonderland+1951,4
2025-02-15T01:51:03,39553,blade+runner+1982,4
2025-02-15T01:47:24,42996,the+good_+the+bad+and+the+ugly+1966,4
2025-02-15T01:47:32,37649,the+matrix+1999,5
2025-02-15T01:47:36,46742,night+moves+1975,2
2025-02-15T01:47:36,74060,akira+1988,3
2025-02-15T01:47:36,93058,lord+of+war+2005,4
2025-02-15T01:47:37,15965,harakiri+1919,4
2025-02-15T01:47:43,18833,fight+club+1999,5
2025-02-15T01:47:45,30061,street+without+end+1934,4
2025-02-15T01:47:54,46000,son+of+rambow+2007,4
2025-02-15T01:47:57,70327,kismet+1955,4
2025-02-15T01:47:58,24867,raiders+of+the+lost+ark+1981,4
2025-02-15T01:47:58,101427,finding+nemo+2003,5
2025-02-15T01:48:03,27039,mr.+troop+mom+2009,4
2025-02-15T01:48:04,41785,ordinary+decent+criminal+2000,3
